iterations,test-F1-mean,test-F1-std,train-F1-mean,train-F1-std,test-Logloss-mean,test-Logloss-std,train-Logloss-mean,train-Logloss-std
0,0.695594446114083,0.056541705701137465,0.7100809857622605,0.013987922987207427,0.614490800597259,0.01474071732437496,0.6090182554552498,0.0074494040792181535
1,0.7210070631123264,0.04365180533566997,0.7236924088043675,0.015467393146113294,0.5612193099432503,0.015963549565265328,0.5540303175270406,0.01243566784582544
2,0.7342944349594507,0.057329468443622966,0.7412661487988126,0.014716455806836217,0.5197571602175961,0.026943537772326793,0.5102904543195941,0.01408028587212159
3,0.7395718651242958,0.05484865925284397,0.7461427518861062,0.016787980632656754,0.48898661176394204,0.03345625484891599,0.4796102788965837,0.01579999074647409
4,0.7352690105695832,0.05932161134254496,0.7488080703735059,0.015119416500764095,0.47279720842020423,0.036563426406801956,0.4598094945163326,0.017255615042846843
5,0.7372021334168851,0.05709801213042763,0.7529300206665184,0.013356369670170348,0.4594335459793342,0.04201369672535976,0.44396025111784515,0.013305895207381914
6,0.7363652733316917,0.06629857395009565,0.7536355759169763,0.01298351735315079,0.45183338081869734,0.04525411289640946,0.43126162767536735,0.014579833687474399
7,0.7393963010437649,0.06876324438628276,0.7580562794135716,0.008856890425242531,0.44703850475190354,0.047396895407231306,0.4249555869102554,0.012930246248088728
8,0.7353537934539878,0.0695602704390671,0.7568592079217009,0.009749809199022238,0.44180209309721974,0.047959128616781546,0.4184440123596794,0.01296593700143696
9,0.7451475821336286,0.057901241361229545,0.7611687239040621,0.011391588241396114,0.43783034067151405,0.045984495910360676,0.41481259198626014,0.01366428084474709
10,0.7415954378914791,0.057977352521403305,0.766013496001334,0.009552499867723118,0.43523409363424664,0.04589753152710375,0.4108101611187142,0.013447673956395432
11,0.7477916697162097,0.0522787129914914,0.7674347674714225,0.011172400240886405,0.4340484017102055,0.046500618786100935,0.4066521828584353,0.015211396507231517
12,0.7489911899081328,0.05188472136455532,0.7677752323169462,0.00918237534624855,0.43311353087349824,0.04678803613825146,0.4039453406229293,0.015118685572067973
13,0.7516352935569959,0.05573875686516107,0.7693333547796828,0.009956217236438109,0.4323449708300734,0.04811680251618415,0.40117902165768216,0.01543642955323079
14,0.753554525864073,0.05875093635044486,0.7722319510691831,0.006992929135452382,0.43012676506807807,0.049478462071729776,0.39854995244216307,0.015262027369084255
15,0.7519909836065575,0.05334294754691705,0.7727083132703404,0.006943450520892806,0.4293823898324402,0.049607602570566255,0.3972697939595359,0.014755609350860642
16,0.7491470270543106,0.05428119128588019,0.7716904675515004,0.007307559191588093,0.42926980635821604,0.051741413096254865,0.3956117399877813,0.014648855505332715
17,0.7530982670711244,0.052118415145506,0.7733081933960909,0.0072301364353930895,0.4294197801414469,0.05158994345162139,0.3933734958803633,0.01450717977732301
18,0.7530982670711244,0.052118415145506,0.7744502854595783,0.008034158093312404,0.4303845499025741,0.052434995092898895,0.3912951633406408,0.014638476478387789
19,0.7569143961033824,0.05699225554405197,0.7728152260606647,0.008022239441575546,0.43046443946556456,0.0536515880321752,0.3897480826067351,0.014692149368409966
20,0.7549998930873845,0.05433367483718785,0.7726432019628191,0.008695244488731636,0.4286935928055815,0.05422573514639911,0.38725925512288684,0.01499532212564956
21,0.7569143961033824,0.05699225554405197,0.7754382605719106,0.007037904066424449,0.4272656863023571,0.05432260915130182,0.38503722556973097,0.014436640241949504
