iterations,test-F1-mean,test-F1-std,train-F1-mean,train-F1-std,test-Logloss-mean,test-Logloss-std,train-Logloss-mean,train-Logloss-std
0,0.7424051695759711,0.04720685185494253,0.752787513462102,0.011551782624873556,0.5931164561079166,0.01186488033744277,0.5720929817395943,0.009482025147227634
1,0.7499087802235167,0.05624556584118786,0.7656757838303441,0.014598213109394572,0.5340054419920117,0.020880823021449352,0.5010692756027997,0.01817073422469584
2,0.7479286903684045,0.05859242060239699,0.7695977842340924,0.01033755993337479,0.4956617929161503,0.03732887244808716,0.45177456418636286,0.017709816487616475
3,0.7480625997227263,0.05986753747878207,0.7720924173512198,0.011011761788191554,0.4752102084667803,0.05115600026852327,0.4220603396150714,0.017191075317982918
4,0.7452846756452061,0.0601007648305333,0.777434560813776,0.011224453754356739,0.45736665952370104,0.05036631361858776,0.40026404250294484,0.01771455922170435
5,0.74650113360585,0.06114827199624292,0.7829733035568645,0.008962311897429211,0.44884953589842036,0.052696751775814996,0.38804405236092593,0.018002412639348937
6,0.7473437870172945,0.06451425204291962,0.7871328835263693,0.013432370238137183,0.44219184532122247,0.0596071325438617,0.3792517115010888,0.019627876815536616
7,0.7487127371273712,0.06289147680252309,0.7947891562155902,0.012990200136629144,0.4389236199309365,0.06024753652555001,0.3709890052112811,0.019768178436917288
8,0.75123918813427,0.06460339207949212,0.7995491924253131,0.009807079074508706,0.4438993617573691,0.061823879606052866,0.3640817515895362,0.01978570577805861
9,0.7560206981911994,0.06646906203683242,0.8036544183661599,0.008782251847680441,0.44055218845276956,0.06308496016848184,0.3578125127043786,0.02001020423005479
10,0.7469157480314961,0.06308418197240911,0.8051735894154252,0.010364548861407228,0.438703416121511,0.06320196903005373,0.35213537447472554,0.021497168982075876
11,0.7461471787173057,0.05818347091333126,0.8093045162055261,0.01221805691448635,0.43738813408903204,0.06505904294341606,0.34827677836007653,0.021901063585448206
12,0.749679717942234,0.06214857344161455,0.8155656942241507,0.01147272622474791,0.4398418882174959,0.06371339687181876,0.34237971105480214,0.021067662666249053
13,0.7516631890166141,0.06427781909907058,0.8177298661568015,0.012471624942391055,0.4383104942765561,0.06742811430007721,0.33917745662727933,0.020783825826089248
14,0.7434496884610734,0.058385616381621645,0.8206969295474613,0.00931125700091219,0.4458396985350871,0.06680971358212706,0.3325042263381606,0.018309564732259906
15,0.7434496884610734,0.058385616381621645,0.8246502207064967,0.014898319282999365,0.4446050824765503,0.06474889324282489,0.3264300143411069,0.020071648108461577
16,0.73891112965718,0.06871047017105456,0.8283772317662066,0.017142591643019966,0.44810962493044926,0.07113814444140734,0.32113385302529895,0.022295042827926992
17,0.7403559490547552,0.06693523582669567,0.8321296672765014,0.017953085186852995,0.4465034393613182,0.07204062063988856,0.31782953094489336,0.022999959521027392
18,0.7379632642693856,0.06420418136305221,0.8381741353215627,0.016935913433025484,0.4481072612392244,0.06896261872493711,0.3132203343345085,0.022265519075626142
19,0.7379020359598096,0.06257605705279805,0.8397018436697941,0.017705457406728433,0.4487610170488602,0.06775661444027443,0.30928425691165184,0.022862550937181227
20,0.7451883979398211,0.054983194053642236,0.8398833208746851,0.017422009699303926,0.4499649080866628,0.068748312654631,0.3064656142003205,0.02373750200776768
